Time (sec), Avg. Response Time (us), Standard deviation (us)
658,6511.0,1143.32
659,6550.0,1341.98
660,6447.0,822.98
661,6542.0,818.85
662,6731.0,1850.02
663,6557.0,1381.42
664,6851.0,2404.07
665,6797.0,2016.38
666,6475.0,788.42
667,6531.0,814.42
668,6491.0,851.44
669,6489.0,838.26
670,6756.0,2212.65
671,6732.0,1667.2
672,6629.0,1478.26
673,6483.0,1017.87
674,6423.0,770.87
675,6478.0,744.61
676,6550.0,1553.43
677,6685.0,2540.51
678,6482.0,1122.84
679,6486.0,838.01
680,6385.0,807.03
681,6584.0,1146.29
682,6635.0,1990.25
683,6843.0,2150.14
684,6761.0,1781.16
685,6406.0,812.05
686,6698.0,2021.28
687,6743.0,1713.87
688,6868.0,2356.47
689,6523.0,1353.82
690,6438.0,830.65
691,6761.0,2249.93
692,6984.0,2319.35
693,6706.0,1738.08
694,6396.0,829.4
695,6413.0,866.23
696,6520.0,1688.85
697,6872.0,2226.38
698,6877.0,2418.11
699,6604.0,1331.9
700,6456.0,817.0
701,6633.0,1481.05
702,6549.0,1150.27
703,6525.0,1210.98
704,6432.0,778.49
705,6578.0,1654.02
706,6597.0,2045.39
707,6697.0,2554.54
708,6805.0,2276.89
709,6872.0,2413.33
710,6776.0,2068.16
711,6707.0,1937.61
712,6425.0,964.97
713,6719.0,2112.38
714,6575.0,1204.05
715,6490.0,844.2
716,6540.0,797.73
717,6551.0,1056.19
718,6482.0,777.27
719,6516.0,792.27
720,6432.0,837.62
721,6568.0,1718.35
722,6698.0,1963.39
723,6657.0,1642.1
724,6828.0,2404.89
725,6513.0,1263.91
726,6571.0,2071.62
727,6728.0,1930.29
728,6907.0,2281.45
729,6470.0,1243.26
730,6681.0,1905.85
731,6621.0,1201.21
732,6859.0,2311.87
733,6621.0,1536.51
734,6486.0,830.74
735,6352.0,821.39
736,6599.0,1581.54
737,6858.0,1846.91
738,6481.0,825.77
739,6527.0,799.66
740,6498.0,830.93
741,6646.0,1309.78
742,6700.0,1874.61
743,6685.0,1976.63
744,6537.0,1317.93
745,6798.0,2185.04
746,6932.0,2440.6
747,6782.0,2106.6
748,6525.0,974.65
749,6804.0,2165.05
750,6456.0,810.11
751,6566.0,1567.89
752,6784.0,2435.68
753,6589.0,1435.75
754,6696.0,1984.4
755,6589.0,1473.33
756,6628.0,2059.74
757,6653.0,1502.97
758,6824.0,2331.9
759,6718.0,1652.51
760,6406.0,734.48
761,6613.0,1941.82
762,6700.0,2489.28
763,6816.0,2824.52
764,6897.0,2349.21
765,6626.0,1638.82
766,6695.0,1496.03
767,6774.0,2441.05
768,6734.0,2462.96
769,6686.0,1996.45
770,6546.0,853.87
771,6529.0,828.89
772,6511.0,860.76
773,6427.0,852.91
774,6510.0,1154.84
775,6614.0,1414.58
776,6676.0,1467.55
777,6976.0,2400.61
778,6743.0,2184.1
779,6655.0,1801.69
780,6815.0,2267.68
781,6814.0,2327.79
782,6631.0,2142.4
783,6671.0,2415.55
784,6932.0,3644.49
785,6723.0,2320.32
786,6649.0,2337.59
787,6710.0,2475.37
788,6745.0,1845.75
789,6661.0,2400.82
790,6707.0,2439.12
791,6739.0,2257.0
792,6876.0,2147.2
793,6780.0,2068.51
794,6595.0,1857.62
795,6618.0,1050.73
796,6620.0,904.64
797,6489.0,863.35
798,6554.0,836.42
799,6486.0,861.45
800,6560.0,870.38
801,6633.0,842.12
802,6751.0,1719.04
803,6512.0,1166.14
804,6474.0,1283.2
805,6576.0,1504.51
806,6724.0,2226.6
807,6715.0,2534.36
808,6724.0,1884.35
809,6546.0,1028.34
810,6744.0,1956.32
811,6637.0,2005.67
812,6656.0,2561.23
813,6935.0,3141.94
814,6616.0,1292.91
815,6573.0,833.66
816,6474.0,2429.55
817,6499.0,2435.86
818,6994.0,2437.89
819,6526.0,1309.3
820,6553.0,1643.03
821,6712.0,2673.08
822,6466.0,808.31
823,6550.0,1593.94
824,6910.0,2500.1
825,6915.0,2350.08
826,6822.0,2201.54
827,6593.0,1654.04
828,6861.0,2278.92
829,6911.0,2343.23
830,6424.0,827.21
831,6585.0,1592.94
832,6696.0,2027.38
833,6370.0,806.66
834,6626.0,1415.48
835,6541.0,1390.76
836,6475.0,1563.3
837,6801.0,2583.16
838,6744.0,1863.67
839,6534.0,1143.08
840,6557.0,839.86
841,6464.0,833.95
842,6489.0,765.17
843,6438.0,797.69
844,6431.0,812.9
845,6560.0,841.58
846,6639.0,1450.59
847,6608.0,2398.89
848,6700.0,2577.85
849,6689.0,1799.62
850,6611.0,1773.05
851,6879.0,2031.78
852,6571.0,1262.55
853,6671.0,1246.16
854,6683.0,2304.8
855,6565.0,1024.5
856,6739.0,2178.24
857,6624.0,1904.37
858,6724.0,1962.49
859,6581.0,926.58
860,6572.0,1168.52
861,6716.0,2704.07
862,6625.0,1722.2
863,6677.0,2249.42
864,6570.0,819.41
865,6884.0,2796.48
866,6589.0,871.85
867,6606.0,1130.01
868,6590.0,1870.29
869,6734.0,2293.82
870,6500.0,860.49
871,6609.0,868.33
872,6583.0,1544.12
873,6728.0,2515.39
874,6662.0,2484.44
875,6708.0,2509.52
876,6611.0,1191.5
877,6635.0,1197.75
878,6558.0,817.65
879,6657.0,806.79
880,6635.0,1867.91
881,7047.0,2372.99
882,6781.0,2959.3
883,6601.0,2007.12
884,6633.0,1961.12
885,6611.0,1577.59
886,6671.0,1145.25
887,6643.0,1525.83
888,6644.0,2047.02
889,6614.0,1910.64
890,6677.0,2516.29
891,6644.0,2415.62
892,6810.0,2191.93
893,6769.0,2047.24
894,6560.0,1026.61
895,6557.0,1391.06
896,6637.0,2290.76
897,6759.0,2380.7
898,6657.0,2477.9
899,6666.0,2418.24
900,6721.0,2035.59
901,6633.0,2198.68
902,6773.0,2389.52
903,6750.0,2197.29
904,6690.0,2457.11
905,6723.0,2452.08
906,6633.0,1792.05
907,6759.0,2455.91
908,6663.0,1942.38
909,6677.0,2571.04
910,6798.0,2463.38
911,6734.0,1583.8
912,6742.0,1562.55
913,6694.0,2559.09
