Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 3602100, 2796800, 798400, 1253595612822, 1253595614222, 1253598411022, 1253598412122, 1253599210522, 1253599214922, true, 38
get, 9624900, 31600, 9579200, 1253602522822, 1253602524222, 1253602555822, 1253602557022, 1253612136222, 1253612147722, true, 46
set, 3641300, 4500, 3573900, 1253618224422, 1253618225722, 1253618230222, 1253618231322, 1253621805222, 1253621865722, true, 0
get, 3689100, 2394700, 1284200, 1253618207722, 1253618209122, 1253620603822, 1253620604822, 1253621889022, 1253621896822, true, 47
get, 4367000, 3525100, 831500, 1253623826522, 1253623827922, 1253627353022, 1253627354022, 1253628185522, 1253628193522, true, 47
get, 7996900, 6736900, 1251600, 1253620733922, 1253620735222, 1253627472122, 1253627473222, 1253628724822, 1253628730822, true, 41
get, 1303200, 112000, 1166500, 1253635776022, 1253635777322, 1253635889322, 1253635890922, 1253637057422, 1253637079222, true, 31
get, 5704100, 4130100, 1563800, 1253636420622, 1253636421722, 1253640551822, 1253640552922, 1253642116722, 1253642124722, true, 35
get, 14645800, 7801500, 6835600, 1253642349322, 1253642350422, 1253650151922, 1253650153022, 1253656988622, 1253656995122, true, 47
get, 10077300, 2905000, 7158100, 1253658055122, 1253658056222, 1253660961222, 1253660962422, 1253668120522, 1253668132422, true, 47
get, 21501300, 11482900, 10010000, 1253646977622, 1253646978722, 1253658461622, 1253658462622, 1253668472622, 1253668478922, true, 47
get, 3217900, 2131500, 1078300, 1253670636522, 1253670637622, 1253672769122, 1253672770222, 1253673848522, 1253673854422, true, 47
get, 13568800, 10646000, 2915800, 1253661119922, 1253661121022, 1253671767022, 1253671768122, 1253674683922, 1253674688722, true, 47
get, 6328700, 1670900, 4650400, 1253673733322, 1253673734322, 1253675405222, 1253675406222, 1253680056622, 1253680062022, true, 47
get, 5402400, 4480300, 913500, 1253679777022, 1253679778022, 1253684258322, 1253684259422, 1253685172922, 1253685179422, true, 47
set, 9670700, 795800, 8811600, 1253684310422, 1253684311622, 1253685107422, 1253685108522, 1253693920122, 1253693981122, true, 0
get, 10394800, 8817700, 1566400, 1253685258622, 1253685259722, 1253694077422, 1253694078422, 1253695644822, 1253695653422, true, 41
get, 7318500, 5091200, 2219100, 1253690548922, 1253690550022, 1253695641222, 1253695642322, 1253697861422, 1253697867422, true, 47
get, 6607200, 3407900, 3185400, 1253697736222, 1253697737322, 1253701145222, 1253701146322, 1253704331722, 1253704343422, true, 46
get, 5788500, 4741300, 1039800, 1253706626022, 1253706627122, 1253711368422, 1253711369422, 1253712409222, 1253712414522, true, 47
