Time (sec), TPS(ops/sec)
1781,15752.0
1782,16523.0
1783,15223.0
1784,15840.0
1785,15987.0
1786,14364.0
1787,15411.0
1788,14965.0
1789,13653.0
1790,16266.0
1791,14538.0
1792,14509.0
1793,14821.0
1794,15443.0
1795,14909.0
1796,14755.0
1797,16037.0
1798,16468.0
1799,16001.0
1800,15199.0
1801,15279.0
1802,15746.0
1803,16297.0
1804,14832.0
1805,17518.0
1806,17029.0
1807,16153.0
1808,17751.0
1809,16396.0
1810,17055.0
1811,17243.0
1812,16926.0
1813,17700.0
1814,17341.0
1815,16657.0
1816,15506.0
1817,16522.0
1818,16795.0
1819,16490.0
1820,15507.0
1821,16806.0
1822,17082.0
1823,16571.0
1824,16982.0
1825,16903.0
1826,13743.0
1827,17166.0
1828,15661.0
1829,14494.0
1830,15560.0
1831,13087.0
1832,14259.0
1833,17174.0
1834,16138.0
1835,15765.0
1836,17250.0
1837,15449.0
1838,15860.0
1839,16453.0
1840,14336.0
1841,15491.0
1842,15836.0
1843,17426.0
1844,16686.0
1845,16808.0
1846,17088.0
1847,16409.0
1848,16510.0
1849,16735.0
1850,16615.0
1851,16229.0
1852,16120.0
1853,16921.0
1854,15682.0
1855,15816.0
1856,16846.0
1857,15799.0
1858,18295.0
1859,15755.0
1860,16406.0
1861,16851.0
1862,17058.0
1863,15934.0
1864,16164.0
